"flags","cltxt01"
0,"When it's Summer i get way more happier😍☀️👙👌🏼"
0,"Im going to the zoo with some friends today :}"
0,"When your friends are ignoring you and you have no idea of what you've done wrong. I thought they were supposed to be my friends!"
0,"A couple of days ago I head a breakdown and almost had one last night and I really don't know what to do anymore"
0,"I adore my mum ok?d\u000f But she's doing my fucking head in. She's looking at house tomorrow that's up for sale but god forbid I go with her to see where we might move to. Argh! =!=\u0012=$=+"
0,"I can't tell my parents cos I can't worry/stress them out more "
7,"Go follow my Instagram  for inspiration @kxtielxuise"
10,"what's the best type of oil or cream to help my scars fade away. sick off walking round with people staring. I'm sick of having so many ugly scars "
0,"I feel so ill but I can't be ill"
0,"my ex apologized to me today I miss him so much.... I wish things coukd have worked out.... he wants to start over again hopefully it works out this time.. I love him so much😍💕💕"
0,"Honey, I'm gonna hang out with whoever's nicest too me. So if you're mad at me for hanging out with her, be nice and I'll come back. Otherwise you'll loose me. Because honey, I grew a backbone."
0,"😃😊😋😄😁😜😍😘😆😝😂😉😚😎😛😅😱😭😵😖😏😬😨😠😡😔😓😳😥😰😢😞😪😩😷😫😣😯😴😒☺😀😌😤😑😐😈😇😗😙😶😟😧😕😦😮💏💋💘💗💖💕💟💔💞💝💓❤💙💚💛💜😸😺😼😾😻😽😹😿🙀🙊🙈🙉🎅👺👹💂👽👿💀👾👻💩💣💥💨💤💢✨💫"
0,"I'm verified =\u0001"
0,"I recently lost my mum to a heart attack and I'm 14; I constantly feel like it's my fault though=\u0013"
0,"I think I might actually start being happy again☺️"
0,"Spent nearly �10 on paper today =""#SixthFormProblems"
0,"I hadn't self harmed for three months but thanks to my dad being rude to me I just self harmed. thanks dad."
0,"If you're struggling then take a moment to breathe, reflect on your life as it is right now because i bet something today has made that beautiful smile on your face come out :) stay strong everybody "
0,"I WANNA GET DRUNK AND SMOKE AND JUST FORGET EVERYTHING"
0,"We all have or at one time were conscious of our effect on the people and things around us..I wonder at what point we disregarded that empathy or learned to push it aside for convenience..  "
0,"I could build a castle out of all the bricks you threw at me =Q<�=\u001b"
0,"Right now I kind of want to shoot them in the face but I really shouldn't "
0,"I want to laugh until my stomach starts hurting and I also want to cry until my eyes turn red"
0,"welp.now I got me and my brother addicted to sao"
0,"College transition is so stressful 😒"
0,"I watch love movies way too often, I wish my life could be like theirs!=�=Qd\u000f"
0,"Je suis Charlie =�"
0,"I'm finding it so hard to stay here...I really cant do this anyone 😭📝🔪...and now I've broken up for summer I've got no one to help me through it to stop me...great 😭😭\n"
0,"Who needs a boyfriend when you can sleep?"
0,"I find myself up all night and sleeping all day. Is that insomnia? Hug=yes, heart=no!=H"
0,"Everyone I have got close to this summer has moved leaving me broken. Sometimes I just want to push people away so I don't get hurt. Goodbyes are the worst. "
0,"jjjop"
0,"I'm being bullied everyday on the bus and around school, and even by the BUS DRIVER, when he's supposed to stop it he joins in like a prick "
0,"11 hours since the break up and I am still crying, I feel worthless... Fuck my life, 3 years over in a moment, gone... Poof. 👎😰🔫"
0,"Always feeling like you're never going to be good enough."
0,"I feel so bad that I never got to apologize for hurting you when i thought you hurt me. you are now 1000 miles away and I cant say Good Bye"
0,"Hiding the biggest part of me . 👀✨"
0,"Shopping is my way of coping.  we all have different ways of coping, some people need to understand this. I cant help it."
0,"I wish someone would give me a hug because I need it not because they need it. "
0,"ME TOO OMGd\u000f(about his actions telling you he likes you, but not texting you when he does everyone else) THAT IS MY SITUATION SO MUCH!!!!d\u000f"
0,"The thing that makes me the happiest is my highest number is me2's, that makes me feel I am never alone and I'm not as sick as I once thought "
0,"Trying to be skinny is hard I hate being fat and ugly"
0,"I'm 16 and my boyfriend is 15, we've been together 5 months and I already know he's the one =� "
0,"Officially have no friends oh"
0,"I really wish that he didn't kiss me, touch me and call me. When I need u your not there anymore. "
0,"My best friend admitted she likes me. We got together on the 25th Jan and now as well as best friends we're also in a relationship🙈😍❤️😊😊😊👫"
0,"I feel this is the end, i dont know if im happy or sad about it 😐"
0,"I wish my boyfriends bff whos also my bff thats a girl would argue so they dont like eachother. =\u0013 I know its bad to think but I cant help it. =\u0014"
3,"Person hiding their scars- don't be scared to let people see them , you have a story to tell don't be ashamed of it=�"
10,"so im ment to be getting counseling and i have only had two and i do go and see if i can book appointment but she books me and dont come and see me a"
0,"9 weeks left until Charlie's born!!=�"
0,"I hate that we judge how popular we are by likes when most of us can count our friends on one hand even if we do get a lot of likes =\u0014"
0,"When you meet a man,  who has been married to his wife for 20 year, has a picture of his wife without her makeup laughing as his screensaver. You just realise some loves last forever☺️ "
0,"I have a boyfriend "
0," This is like my favourite colour 😜"
0,"4 years clean of =*, just found out someone thought i still did it. I've known them for 2 years. wtf"
0,"My boyfriend always tries to help me but when he needs me I don't know what to do to help him, I'm scared I'll lose him because I can't help him and what happens if I can't talk him out of it again =-"
0,"i'd say my best friend is this person i've known for two years over the internet, who i've never met."
0,"Well I just got back with the boy I think I might love=\r so happy right now almost forgot I were depressed=\u0018"
0,"Fuck you, fuckboy."
7,"Heart this if you bi<\u000e"
0,"I GOT FEATURED ON VIDEOSTAR😍😍😘"
0,"I get so nervous for everything and I didn't study for my history exam tomorrow... PLEASE HELP ME THROUGH THIS"
0,"Idk about you but every hug and heart I get just makes my day even better, and puts a smile on my face=�"
0,"Idk how my family hasn't noticed that I always listen to stay with me by ironik when I feel depressed they know me so well don't they=-"
0,"I hate her "
0,"I know I'm not fat, but why do I feel it"
0,"My first kiss was from a Guy .. it was weird but je liked it lol"
0,"How am I supposed to explain to you what I want to say... I feel like such a problem."
0,"I made it thru depression and anxiety because of a guy, he left and its all coming back again"
0,"I cant stop thinking about you😔😓"
0,"Self harm never has actually made me feel better with issues, I've only done it once just out of hope it would help and it did nothing "
0,"When you can't breathe without chest pain 😁"
0,"My dad has started smoking again"
0,"2015 is going to be the year that I lose wight and be healthy. No more bingeing. No more throwing up. No more calorie counting. 2015 is going to be my year."
0,"I consider suicide a lot even though I don't have the guts to do it. And I don't know whether I'm the only one but I am just so done "
0,"My therapist said I have anxiety, and I don't know who I should tell"
0,"Bullies are the worst when it happens to you but it's worse when you have to watch it happen to a friend..."
0,"Life goal- good job to have amazing friends and to find someone that understands me and that I can spend the rest of my life with☺️"
0,"I wish I got ""goals"" on my selfies."
0,"Id quite happily fall asleep and never wake up again =�"
0,"I'm kind of just done with life, like I've lost everyone and death seems strangely comforting. :/"
0,"why does everyone tell me that you like me but you wont tell me? and you avoid me? and you make me feel like a placeholder? im not a mind reader, someone help me please!!"
0,"Just found out that I'm gonna be going to a New Year's Eve party and my crush is gonna be there!! Hope for once he actually notices me! 😁💕"
0,"Finding out that someone has months to live. She's not even related to me but she's the only person that has never judged me or spoke behind my back. I guess God needs his angels "
0,"He replied =\u0001=H=\u0018"
0,"When you look back at scars and it brings back all the memories of when you did it and how you felt Yep it sucks "
0,"hate being left on my own "
0,"i always feel so alone eventhough i have so many people, but no one will ever understand me so whats the point trying!"
0,"Happy birthday to me "
0,"Shoutout to all the 90's babies without babies"
0,"About to go into my physics exam and I am shitting myself so badly!! Don't think I've ever been this nervous!!"
0,"Is 6 years apart that big a deal? I mean, I know you trust him because he's my brothers best friend. I just want to be with him.  Please. "
0,"I know that the girl I like is chatting to my friends more than she is chatting to me!! =\u0014"
3,"My mum is pressuring me to lose weight, I'm 5'9 and 13 stone, heart this if it's a bad weight, hug if it's not, thankyou=�"
0,"I was waiting for my mom when this girl came and was like 'why don't you have friends? Coz ur a loner' and she threw my schoolbag onto the road :( "
0,"Oh yeah, summer. The time of yeah I freak out cause I don't wanna wear short stuff or dresses but if I don't I'll overheat and dye. I hate my legs. "
0,"I look like a potato but Ima hOt potato"
0,"I had an awesome Friday night with my best friend. We did nothing be laugh! "
0,"Sometimes my friends joke around with me and call me names because they think I'm okay with it but really it hurts inside like, is this what they really think of me? =0"
0,"i think I might be A-sexual "
0,"Eugh fucking hate you "
0,"Feeling Happy"
0,"My current mentality is ""I'm sad and I hate myself but I have to get good days"""
0,"Got a Henna today off my friend love it// Chester zoo tomorrow with school buzzing// finally something to look forward to 😊😊"
0,"Your life is a book, start writing your story\u000f\u000f=�"
0,"After the last school holidays ended my friend told me she wanted space because I was too 'clingy' and I can't help but feel like she's going to do the same when these holidays  end.....I feel annoying"
0,"I still love him "
0,"I've lost him. "
0,"I've only seen my uncle 3 times in my life. He lives 20 minutes away from my family. Not only did he ditch his family, he ditched all his old friends. I can never forgive that man."
0,"And its just another breakdown... it gets worse each time "
0,"Whats the 7 day silent secret challenge hah"
0,"2 months today, love and miss you so much Erick=- my best mate, gone but never forgotten=|=*=� "
0,"Should I feel bad for naturally blocking people out of my life?"
0,"Not able to send time with my gf cuz I gotta work 8 hours at a job I hate everyday for the rest of Easter. Fucking hating life rn=+"
0,"Miserable isn't the word"
0,"You make me warm"
0,"I say a joke and then my parents turn it into a lecture =\u0002"
0,"I feel as if he doesn't want me😓"
0,"I can't even kiss, and tbh I don't want a bf it's depressing u loose a friend and it's all just messed up now to wait till it's the right time to dump him =-=-=-. I prefer to be alone!"
0,"Surfing makes me happy! 🏄"
0,"Bit sad"
0,"So so nervous about doing things with the boy I'm with, how am I expected to know what to do and I'll probably be rubbish, he's done things before as well!! "
0,"I hate my self =\u001e"
0,"I seriously don't know what to do with myself anymore"
0,"He said 'ly'☺️☺️☺️"
0,"Wishing all of this shit could stop =\u0014"
0,"That moment when u fall off a spooked horse while bare back riding =\u0014<�=\u000e"
0,"I really like this guy but idk what to do he hates me "
0,"""when your having a bad day, a Really bad day, try treat the world better than it treated you"" -Patrick stump ♥ ♡ ♥ ♡"
0,"You make me feel so important, so amazing. I can't imagine a life with you by my side it's just a shame we live far apart and I can't see you everyday. I love you forever till the end with all my love"
0,"In the end it's always okay! If it's not okay, then it's not the end😘"
0,"Contemplated suicide for about too months now and still thought it could only get better but it hasn't really , how long will I last, who will fix me now ? Save me from myself "
0,"Don't you fucking dare bring up my ex ever again=*"
0,"I wish there were more nicer boys in our school not in looks but In personality the boys at my school I swear they really don't have hearts they always bully girls and act like real idiots sometimes=#"
0,"I secretly work out because, even though I look really comfortable with my body I hate my thighs and tummy so I run and workout and have slightly stopped eating "
0,"Gay marriage has been legalised in all states in America 😊❤️🌈🌈"
0,"So I really like this girl, and I think things are going well she told me she likes me and we are getting to know each other 😏😍"
0,"if you've forgotten I have anxiety, that makes everything worse so don't question why"
0,"I don't have many friends, and it sucks=\u0014"
0,"I just wish I had boobs "
0,"I'm always the one that gets picked on in my group in school and I never know what to do about it and I'm sick of it at this point "
0,"Officially the only child for a week 🙈"
0,"People always come to me for advice and comfort. Yet when I simply need a hug or a simple hello no one is there for me. But I wont just leave because I know  how that feels...to be abandoned "
0,"I feel so alone=*"
0,"It's been almost a year since I last self harmed, feeling proud "
0,"I'm so worried about my boyfriend. He's not well =\u0015=0=7 "
0,"Clean for a month now "
0,"Sometimes I think it's better to keep it all to myself..I know no one cares about my problems in life..."
0,"I can't go back to school tomorrow! My anxiety is through the roof right now! I just can't do this!! 😞"
0,"I'm so disgusted!!! nearly two years clean and I've ruined it!=-"
0,"so I'm going to the ball in really tight dress, ay better start squatting😏😏"
0,"I liked this boy, we kissed, he asked me out but quickly took it back and he's been playing me ever since=( can't stand when people say you have to get over him, if you're not over him then your not"
0,"I FUCKING HATE MY LIFE 😣😣"
0,"I need help but everyone's ignoring me ffs =-=- I don't know what to do "
0,"I suck at life😴"
0,"I will never be pretty enough. Never be enough for anything. Kill me. Put me out of this!"
0,"When you like him but know that there is no chance in him ever liking you "
0,"I got forced to suck off a lad when I was 12 and that's one reason why I'm lesbian "
0,"New Harry Potter coming out! Don't think I've been more happy in my life!!"
0,"Why do the people around keep ignoring me?=6=\u0015"
0,"I feel so unloved and lonely I just want to cry"
0,"I will learn to become a better person"
0,"me as a kid wouldn't want to grow up if she seen who I am today..."
0,"The person that make you the happiest can also make you the saddest😓"
7,"@"
0,"So damn done with this shit"
0,"Today we said 'I love you'...❤️"
0,"I really have to pee and I'm so hungry but I don't want to leave my bed, so now I'm making a game plan on how to get food and drain thy bladder then get back into bed as quickly as possible."
0,"Help me please I'm dying inside 😭🔫"
0,"Why can't I see the good in me that my boyfriend see's in me. "
0,"It's funny how I can tell everyone else exactly how I feel about them but the one person I can't tell is the person who means the most to me. "
0,"Every love story is beautiful but ours is my favourite🌸"
0,"I really do hate myself. I also seem to be the one who has to screw things up and make myself and everybody else upset. I'm over it all"
0,"Talking to shy guys is so difficult when I'm already the most awkward person ever "
0,"Thanks for telling me about something that will effect me. Note the sarcasam. Anyone else experienced this?"
0,"It really annoys me when people use words they don't know the meaning of, just to try and hurt you..."
0,"Decided to start being positive 😀"
0,"Dose anyone else feel like there gonna be alone forever "
0,"Sometimes I walk down the halls In school and I look at these people I pass and wonder what problems they're going through and the millions of thoughts rushing through their head as we brush shoulders"
0,"I hate my life"
0,"When u open up to your best friend about  having depression and anxiety and she just brishes it of and goes on and talks about people worse of😩😥😖"
0,"Surround yourself with people who care💙"
0,"So glad I found this app"
0,"I have struggled with addiction a large portion of my life"
0,"Haven't cut for a while but the urge is creeping up and making me really depressed "
0,"I'm a dancer but I am a year behind all the girls my age look at me as if I'm some weirdo should I quit !!"
0,"Wanting to have a best friend is hard when everyone els already has one"
0,"I am as useless as Dan Howell's belt.... I am such a fuck up..."
0,"Im seriously fucked. My assingment is due in tomorrow and its not even finished. Im screwed."
0,"Thanks for listening to my pointless crap guys, love to all"
0,"I dunno what to do anymore "
0,"I just want to pluck up the courage and message you..."
0,"how can I live on with the fear of me not meeting my potential"
0,"I used to have a lot of friends and now I have one how is that! 😭😭"
0,"Just hating yourself so much but putting on a fake attitude when you go out really sucks."
0,"my longist relationship is with my baby 1 month today\n"
0,"I love the fact that I have come to a point in my life where I don't need acceptance off other people"
0,"Reallyyyyyy want a fag right now!!!!!!!!! =�"
0,"Why am I so horrible to everyone I talk to "
0,"She promised me not to tell anyone, and I actually can believe that I trusted her. After a month, I told her how I feel about her, then she said ( okay ) ..."
0,"I finally told my mum about my self harm and I'm finally seeking the help I need"
0,"My mum just committed suicide. I have never in my life felt as worse than I am now.. She didn't even say goodbye.. I wish I could feel her arms around me again.. Oh mum😭😭 Why do I feel responsible😭"
0,"Why will I never be good enough ="""
0,"Why is she still using me even when we are not friends anymore?\nwhy am i even letting her use me?"
0,"My friends are the best 💟💜"
0,"So basically I want to go to Hawaii and work with sharks! Actually I want to do anything fun, spending my life in an office is my nightmare"
0,"Boyfriend is staying third night in a row getting really fed up of him now but I can't let him walk back home Cus it 10 miles away :/ "
0,"Go ahead and like a picture of a 15 year old with her tits out. Don't expect me to ever talk to you again! Disgutsing human being! She's no better either the slag. Shouldn't she be doing homework??"
0,"I'm 15 and my 20 year old brother just came in a bit my head =\u0002=\u0002"
0,"I wanna share my story and get all my emotions out but I'm to scared that people will judge me and not look at me in the same way again 💔"
0,"Feeling alone sucks "
0,"I just hate school so much, like I try really hard but nothing makes sense. I can sit there for hours reading the same thing and nothing works!"
0,"I once cried over an animated ship\nTT_TT"
0,"Literally have no idea what I want to do after sixth form because I've finally found somewhere that I don't want to escape from and that was what I wanted to do when I left school so idk"
0,"Sick of you lying to me all the time... 😢"
0,"I hate sleep so much because every time do go to sleep I dream about dying/getting killed. But I also love sleep because then I stop having emotions.=5"
0,"Everything I do in life is to make everyone else happy, it's never to make myself happy=\u000f"
0,"My crush is 16 and im 13 and the age discrimination kilss me because i've been talking to him for a year now and i love him so so much "
0,"After years of a cracked heart I finally realize that the real man was I front of me the whole time, in the form of my best friend =\r=\u0018=�=�"
0,"Do you ever fall fo someone you shouldn't?\nTry hard to fight feelings, but just couldn't? \nHe's only a friend, and nothing else.\nPerhaps it's ""wrong"" for him to know."
0,"Hate my Parents so much sometimes👊"
0,"Shout out to the people who made this!\n\nYou should be so damn proud of your creation as it's helped so many people😄\n\nStay Awesome x"
0,"Hate being tired all the time=6"
10,"best couple"
0,"tired tired tired "
0,"I had the best sex last night. Happy new year, starting with a bang =H my boyfriend did a good job =k"
0,"dont you just love being ignored \n:'(\n☆☆"
0,"If you've got good friends, you won't want a relationship. Wake up and realise that you're surrounded by people who care."
0,"Isn't it strange how day by day nothing changes but when you look back everything is different!?! "
0,"You were so great to start with and now I have near none respect left for you. Thanks for using me. "
0,"When I'm away fro"
0,"Got my tongue pierced today. Just waiting till my dad finds out😥😯"
0,"Lat night I bought 3 hot chocolates and I gave them to the first 3 homeless people I saw, along with �5 each. Their happiness and gratefulness made me feel such deep feelings. I've found my calling."
0,"As ive been criticised about being a girl gamer remember who beat u in all the games u played who was that again? Oh wait it was me "
0,"I hate when you don't understand what your boyfriend means "
0,"Officially got up spend a while getting ready and waited around with high hopes of going out (due to ready made plans) for fuck all :/ feeling upset :( "
0,"People are childish"
10,"Fuck"
0,"Nos dda, goodnight 😴"
0,"I'm tired of feeling like this. I want to be happy again, I try everything but it's just not working. I'm starting to hate my life more and more each day and it's getting too hard..."
0,"Hate feeling like no one notices me, especially on a special day like this"
0,"Lads that don't talk to you for 2 weeks then message you looking for nudes, please be gone \u000b"
0,"I'm ugly and proud ~ SpongeBob (and me) "
1,"i'm so stupid, worthless, nobody cares about me , not even my best friend, that makes me try again commit suicide 😥"
0,"Is it bad I let my boyfriend touch my boob for like ages in the cinema=\u0001=\u0001=\u0001"
0,"i do what i do because its my way of coping...i dont do it to ignore people or use them...i literally just need to know that they are okay with my existance..."
0,"My boyfriend has made me a better person and that's why I love him 😻😇❤️"
0,"""You cant wake up, this is not a dream, your part of a machine, you are not a human being, with your face all made up living on a screen, low on self esteem, so you run on gasoline"" 🎧🎧"
0,"trying to explain to my sister that I'm bi sexual; ""let's just say I'm so attractive that girls and boys like me"" "
0,"need money😖"
0,"Im scared to fall inlove incase they are all the same as the boy i loved.."
0,"I cried on Christmas Eve... It really put life into perspective. "
0,"Why can't I talk to anyone about how shitty my life is, being a girl with problems isn't fun it's killing me inside 🙊"
0,"Ready to finish it all.."
0,"I'm so scared of messing up again "
7,"Hug me if your an Aussie =\u0000=\u0001=\u0003=\u0004<�<�"
0,"I'm a walking travesty, but im smiling at everything."
0,"comment a confession"
0,"Ohhhhhhh he's defiantly a B�. Big all=\r"
0,"Getting fucked over is becoming a common thing for me "
0,"I've had a brilliant day, and you've all sent me to bed with a smile😄Hope you do the same❤️ Love you."
0,"School is really bad at at the moment, I feel dumb all the time and I just want to get up and run away from it all really regularly "
0,"I'm sitting here and I want to self harm so badly. It helps so much for about five minutes but I know I'll feel like hell about it later. I don't know what to do"
0,"The feeling of getting let down never gets easier, I hate it but it always happens to me. "
0,"thanks for making me feel like a worthless piece of SHIT"
0,"My dad might have bipolar and can't work or live with his family, my mum might not have the best job in the world, and my siblings might be really annoying. But I love you soooooo much xox"
0,"My 'best friend' just told me ""I get you're depressed but why do you have to be such a bitch about it."" I literally have no reason to live anymore."
0,"Just a reminder that you were not put on earth for the sole purpose of having a thigh gap and a flat stomach=\n"
0,"my friend was speaking about it to me earlier and she doesnt know we were speaking and for me that was a big slap in the face considering she liked someone else like 2 days ago "
0,"I just want a boyfriend so I don't feel so alone all the time, someone to cuddle and take care of me =\u001e"
0,"Really think each generation is becoming more desensitised as we're exposed to so much. We watched a movie, my mum was flinching at it and I didn't even blink."
0,"Singing is my only escape, it lets me breathe and speak my mind. Hope you all have a way to escape=\u0018=\n<�"
0,"Feeling like I put way too much effort into my relationship and get nothing back "
0,"I love this app, because you can share anything you want and no one will know who you are. I HAVE DIARRHOEA. "
0,"I love my mam so much. She is my hero, and every day I strive to be more like her!  "
0,"=�=IBring me the Horizon=H=�"
0,"I'm sad all the time and I don't know why.."
0,"I'm done trying nothing is good enough for you."
0,"Whenever I post something i always get a warning because it has a high risk of key words I thought u could post stuff without being judged guess not 😳😩"
0,"One thing I like about myself today:\nThe colour of my eyes. Green, blue and brown e"
0,"So he told me liked me but now he's back with his ex .GREAT."
0,"Time to brave the world"
0,"I wish I was dead, so that people would stop telling to to kill myself  🔪"
0,"i know i shouldn't have dreamed of you because it made me wake up wishing you were with me. wishing i could have you. i thought that i didn't care anymore but all i want is you. "
0,"I literally  have to ask my mum a question and she's angry with me "
0,"I starve myself."
0,"It's over...I've lost all my friends to suicide💉💊💊🔪"
0,"Popularity don't get you anywhere in life =P<�"
10,"i love being 12"
0,"I've been so depressed I haven't been able to eat in days... I feel helpless"
0,"This blue makes me feel relaxed and confident about myself I love it❤️❤️❤️❤️"
0,"I wanna do something with my life. "
0,"things were going so well nd now once again I fuck up I can't take it 😭😭 "
0,"I'm having problems expressing everything I feel towards my girlfriend.. I miss her a lot though. It's killing me"
0,"hate myself hate me so so much ...\n"
0,"I'm really afraid of feeling happy because it never lasts."
0,"I love getting really nice comments 💜💛💚 Thanks guys!!!💙❤️💛.         "
0,"Me and my boyfriend strengthen our relationship through violence yet neither of us care how far we go I love it :\u000f"
0,"I get up, get dressed and go out... But really I'm dying inside and all I want to do is sleep :("
